Name,Price,Year,Style,Made In,Kilometer,Province,District,Gearbox,Fuel,Description
MG ZS 2021,399 triệu,2021,SUV,Trong nước,50.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Vừa cập bến. Mg zs 2021 xe cá nhân sử dụng. Xe đẹp ko 1 lỗi nhỏ. Giá 399 tr có thương lượng. Hỗ trợ bank 70%. Ae có khách cùng bán. - Cam kết không đâm va ngập nước. - Cam lịch sử xe rõ ràng. - Kiểm tra kỹ thuật toàn diện, bao check toàn quốc. - Thu lại xe của khách thủ tục nhanh gọn. - Hợp pháp giấy tờ, minh bạch, rõ ràng, duyệt nhanh chóng. LH: 0848808338 - 0838433333."
Mitsubishi Attrage 1.2L MT 2022,279 triệu,2022,Sedan,Nhập khẩu,25.000 km,Hải Phòng,An Dương,Số sàn,Máy xăng,"Hàng mới về atrage 2022 MT một chu mua từ mới, xe nhập khẩu thái lan."
Mercedes-Benz GLC 300 4Matic 2020,1 tỉ 680 triệu,2020,SUV,Trong nước,40.000 km,Hà Nội,,Máy xăng,,"Mercedes GLC300 sx 2020, odo 4v km. Giá 1 tỷ 680 triệu."
Mercedes-Benz S450L 4Matic 2022,4 tỉ 350 triệu,2022,Sedan,Nhập khẩu,10.000 km,Hà Nội,Bắc Từ Liêm,Số tự động,Máy xăng,"Bán xe Mercedes S450 model 2023 siêu lướt hơn 1v km. Màu xanh cavasite nội thất kem siêu mới, form mới với rất nhiều tính năng và công nghệ hiện đại, có ghê thương gia và massage.... Hỗ trợ bank, chất lượng xe oke đã kiểm tra kỹ."
Rolls-Royce Ghost Series II 2015,13 tỉ 900 triệu,2015,Sedan,Nhập khẩu,18.000 km,Hà Nội,Bắc Từ Liêm,Số tự động,Máy xăng,"Bán xe RollsRoyce GHOST EWB model 2015. Xe siêu mới, odo chuẩn 18.000km. Bản full option: Cửa sổ trời toàn cảnh, rèm điện sau, ghế masage, hắt kính, phanh khoảng cách, trục cơ sở dài và rộng hơn 20cm so với bản thường. - Hỗ trợ bank, giá có thương lượng."
Ford Ranger Wildtrak 4x4 AT 2022,855 triệu,2022,Bán Tải,Trong nước,40.000 km,Tp.HCM,Tân Phú,Số tự động,Máy dầu,"Ford RANGER WT 2.0L (4x4) 2022 siêu lướt 99%. Biển số Tphcm. Xe cá nhân chính chủ. ✔Giá xe còn thương lượng cho quý khách ưng xe và muốn đặt cọc xe, hỗ trợ trả góp tối đa với lãi suất thấp. ✔Xe siêu lướt, bao zin nguyên con, ít sử dụng chỉ đi loanh quanh gần nhà. Do nhu cầu đổi xe nên thanh lý xe cho hãng Ford. ✔Xe đẹp, máy êm, chạy êm, tiết kiệm nhiên liệu. ✔Đặc biệt: Còn bảo hành chính hãng của Ford Việt Nam. ✔Phụ kiện zin theo xe: Lót sàn, phim cách nhiệt. ✔Số km: ~40.000km, Màu: Trắng. ✔Giá: 855 triệu. - Đặc Biệt: Xe Được Bảo Hành Chính Hãng Ford 01 Năm. - Xin Quý Khách Vui Lòng Liên Hệ Trực Tiếp Xem Xe Và Thương Lượng Trực Tiếp Để Mua Được Chiếc Xe Với Giá Hợp Lý Nhất. Lý do nên lựa chọn xe đã qua sử dụng Chính Hãng: - Bảo hành chính hãng. - Lý lịch minh bạch. Đã kiểm tra 167 điểm kỹ thuật của Ford. Cam kết không đâm đụng, ngập nước. Sẵn xe tại Showroom Ford - Đến xem thoải mái. Giấy tờ đầy đủ, hỗ trợ sang tên toàn quốc."
Ford Ranger Wildtrak 4x4 AT 2020,738 triệu,2020,Bán Tải,Nhập khẩu,60.000 km,Tp.HCM,Tân Phú,Số tự động,Máy dầu,"Ford RANGER WT 2.0L (4x4) 2020 siêu lướt 99%. Xe cá nhân chính chủ, Biển số 51D. ✔Giá xe còn thương lượng cho quý khách ưng xe và muốn đặt cọc xe, hỗ trợ trả góp tối đa với lãi suất thấp. ✔Xe siêu lướt, bao zin nguyên con, ít sử dụng chỉ đi loanh quanh gần nhà. Do nhu cầu đổi xe nên thanh lý xe cho hãng Ford. ✔Xe đẹp, máy êm, chạy êm, tiết kiệm nhiên liệu. ✔Đặc biệt: Còn bảo hành chính hãng của Ford Việt Nam. ✔Phụ kiện zin theo xe: Nắp thùng xếp, phim cách nhiệt, lót sàn. ✔Số km: ~60.000km, Màu: Trắng. ✔Giá: 738 triệu. - Đặc Biệt: Xe Được Bảo Hành Chính Hãng Ford 01 Năm. - Xin Quý Khách Vui Lòng Liên Hệ Trực Tiếp Xem Xe Và Thương Lượng Trực Tiếp Để Mua Được Chiếc Xe Với Giá Hợp Lý Nhất. Lý do nên lựa chọn xe đã qua sử dụng Chính Hãng: - Bảo hành chính hãng. - Lý lịch minh bạch. Đã kiểm tra 167 điểm kỹ thuật của Ford. Cam kết không đâm đụng, ngập nước. Sẵn xe tại Showroom Ford - Đến xem thoải mái. Giấy tờ đầy đủ, hỗ trợ sang tên toàn quốc."
Hyundai Santa Fe 2.2 Dầu Cao cấp 2022,1 tỉ 199 triệu,2022,SUV,Trong nước,25.000 km,Hà Nội,Cầu Giấy,Số tự động,Máy dầu,"Hyundai #SantaFe 2.2D Premium sx 2022 (Dầu cao cấp): - ------------------------------------. - Odo: 25.000 km. - Biển tỉnh. - Cam kết chất lượng toàn bộ: Không tai nạn, không ngập nước, máy móc động cơ hộp số nguyên bản nhà sản xuất, pháp lý sạch sẽ, minh bạch. Gia: 1.199 trđ (thiện chí có bớt). Cam kết: Không đâm đụng, ngập lụt. Thủy kính. Hỗ trợ trả góp 65-70%, thủ tục nhanh chóng, lãi suất hời. Hỗ trợ giao xe tận nơi. Hỗ trợ bao rút hồ sơ. - -----------------------------------. Mr. Nô: 0989799793. Địa chỉ: Villa 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hanoi. (Cạnh Công Viên Yên Hoà)."
Mitsubishi Xpander 1.5 AT 2019,489 triệu,2019,MPV,Nhập khẩu,46.000 km,Tp.HCM,Quận 7,Số tự động,Máy xăng,"- -XEM XE LÁI THỬ NGAY - KO CẦN ĐẶT CỌC. Biển số tỉnh 71A (Sang tên về TP ko tốn 20tr tiền biển số). Odo: 46,700 km chuẩn (bao test hãng). Động cơ: 1.5 lít (Tiêu hao 6 - 7l/100km). Hộp số: Tự Động. Phân khúc: MPV 7 chỗ. Nhập Indo nguyên chiếc. Hỗ trợ đầy đủ dịch vụ Đăng Kí - Đăng Kiểm - Sang Tên toàn Quốc. - - Tình trạng xe: Xe tư nhân, Chỉ sử dụng Gia Đình, Ko dịch vụ. Bảo dưỡng bảo trì định kì đầy đủ, giữ gìn kĩ. Động cơ - hộp số - keo chỉ - gầm bệ nguyên bản chưa qua sửa chữa. Ngoại thất màu ĐEN BÓNG. Nước Sơn còn rất mới và liền lạc. Nội thất thơm tho sạch đẹp, các chi tiết hao mòn không đáng kể. 4 Lốp zin còn đẹp, bánh sơ cua chưa hạ, phụ kiện theo xe còn đầy đủ. - - Option nổi bật của xe. Đã lên sẵn màn hình Androi - Camera lùi - Cảm biến lùi. Đã bọc full nội thất da - Bọc trần nilon - Bọc sàn - Film cách nhiệt. Lên sẵn dàn body kit thể thao xung quanh xe. Ga tự động + Điều hòa 2 vùng + Gương chỉnh điện Auto. Đăng kiểm dài còn đến 10/2025."
Toyota Corolla Cross 1.8 V 2022,780 triệu,2022,SUV,Trong nước,18.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Toyota Cross 2022 1.8V chạy 1,8 vạn km. Giá bán 780tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mazda 3 2019,470 triệu,2019,Sedan,Trong nước,56.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Mazda3 1.5FL 2019 chạy 5,6v km. Giá bán 470 triệu lh 0916036196. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Ford Ranger XLS 2.2 4x2 AT 2022,560 triệu,2022,Bán Tải,Trong nước,40.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy dầu,"Ford Ranger XLS 2.2AT sx 2022 chạy 4v km zin. Giá bán 560tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mazda 3 1.5L Sedan 2018,448 triệu,2018,Sedan,Trong nước,70.000 km,Hà Nội,Long Biên,Số tự động,Máy xăng,"TP Auto mới cập bến: - Mazda 3 1.5AT, - Sản xuất: 2018, - Odo: 7v2 km, - Cam kết xe không đâm đụng, ngập nước, máy số, khung gầm nguyên bản theo xe, - Xem xe tại Long Biên, Hà Nội. - Hotline: 0779.51.6789."
Mercedes-Benz C200 2.0 AT 2016,639 triệu,2016,Sedan,Trong nước,95.000 km,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,"Linh Anh Auto chào bán. - Mercedes C200 sản xuất 2016. - Ngoại thất Xanh cavansite nội thất Kem. - Lăn bánh hơn 9v km. - Xe bảo dưỡng kỹ nên đi cực kỳ êm và chắc chắn. - Đã lên cốp điện, keyless go, áp suất lốp (tổng 60tr). Cam kết ko đâm đụng ảnh hưởng tới sắt xi, khung giằng. Ko ngập nước động cơ hộp số nguyên bản."
Lexus ES 250 2019,1 tỉ 768 triệu,2019,Sedan,Nhập khẩu,60.000 km,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,"Linh Anh Auto chào bán. - Lexus ES250 nhập khẩu nguyên chiếc Nhật Bản. - Sản xuất và đăng ký 2019 tư nhân 1 chủ từ mới. - Ngoại thất Vàng Be nội thất Nâu da bò. - Full lịch sử bảo dưỡng hãng nên xe cực chất. Cam kết ko đâm đụng ảnh hưởng tới sắt xi, khung giằng. Ko ngập nước động cơ hộp số nguyên bản."
Mercedes-Benz S400 3.0 V6 2016,1 tỉ 399 triệu,2016,Sedan,Trong nước,80.000 km,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,"Linh Anh Auto chào bán. - Mercedes S400L sản xuất 2016. - Ngoại thất Đen nội thất Đen (Đang Wrap Trắng). - Lăn bánh 8v miles zin bảo dưỡng cực kỹ xe chắc nịch. - Option theo xe nguyên bản cực kỳ xịn xò miên man đẳng cấp. Cam kết ko đâm đụng ảnh hưởng tới sắt xi, khung giằng. Ko ngập nước động cơ hộp số nguyên bản."
Mercedes-Benz CLA 200 1.6 I4 2014,499 triệu,2014,Sedan,Nhập khẩu,60.000 km,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,"Linh Anh Auto chào bán. - Mercedes CLA 200 coupe. - Sản xuất 2014 đăng ký lần đầu 2015. - Ngoại thất Trắng nội thất Đen. - Đã Lên màn hình Android + Cam 360. - Xe đẹp đều so với đời, bảo dưỡng kỹ. Cam kết ko đâm đụng ảnh hưởng tới sắt xi, khung giằng. Ko ngập nước động cơ hộp số nguyên bản."
MG 5 1.5L STD 2022,405 triệu,2022,Sedan,Nhập khẩu,24.000 km,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,"Bán xe MG 5 1.5 AT 2022, nhập khẩu nguyên chiếc, sản xuất tại Thái Lan, đăng ký tên tư nhân, biển Hà Nội, đăng ký tháng 8/ 2022, chạy đúng 2.4 vạn km, dàn lốp theo xe còn mới tinh, rất dầy, lốp sơ cua cũng mới tinh chưa hạ. Xe được trang bị động cơ xăng với dung tích 1.5 L, kết hợp với hộp số tự động, nội thất ghế da và cả một bầu trời công nghệ như: Màn hình thông minh kết nối smartphone, camera lùi, camera hành trình, cảm biến lùi, điều hoà tự động, vô lăng tích hợp các phím điều khiển, khoá thông minh, sats/ stop, cốp điện.... Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
Honda City RS 2022,519 triệu,2022,Sedan,Trong nước,24.000 km,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,"Bán xe Honda City bản RS sản xuất năm 2022, màu đỏ xe đăng ký tên cá nhân, 1 chủ từ mới. Siêu lướt, mới chạy hơn 2 vạn km, dàn lốp theo xe còn rất dầy và mới. Bản RS nên xe được trang bị Full Option: Nội thất da, khóa thông minh Star/Stop, điều hòa tự động, túi khí an toàn quanh xe, vô lăng bọc da, tích hợp điều khiển, kiểm soát hành trình, ga tự động (Cruicontro), gương kính chỉnh điện, tích hợp xi nhan trên gương, phanh ABS, hệ thống giải trí màn hình Android, camera lùi, cảm biến lùi, kết nối ngoại vi,... Cùng nhiều tiện ích khác. Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
Toyota Corolla Cross 1.8 V 2020,699 triệu,2020,Crossover,Nhập khẩu,20.272 km,Tp.HCM,Bình Chánh,Số tự động,Máy xăng,"[XE ĐÃ QUA SỬ DỤNG] Cross 1.8V 2020. Màu TRẮNG. Odo 20.272 km. Biển số TpHCM – Cá nhân. Trang bị: 1. Dán phim cách nhiệt. 2. Trải sàn Simili. 3. Camera hành trình. 4. Viền che mưa. 5. Nẹp bước chân không đèn. 6. Bảo hành T-sure 20.000 Km / 12 Tháng. Giá bán: 699tr (có thương lượng). Hỗ trợ vay vốn lên đến 80% giá trị xe, không cần chứng minh thu nhập, thời gian vay 1-8 năm. - Thu cũ Đổi mới tất cả các dòng xe. - Thủ tục nhanh gọn, giao xe tận nơi. Vui lòng liên hệ: Mr Vinh – 0938007033. *** Fanpage: Https://www.facebook.com/profile.php? Id=61555631063387. *** Gian hàng 1: Https://xe.chotot.com/cua-hang/cua-hang-1043400-1638600990194. *** Gian hàng 2:"
Toyota Corolla Cross 1.8 G 2022,685 triệu,2022,Crossover,Nhập khẩu,26.958 km,Tp.HCM,Bình Chánh,Số tự động,Máy xăng,"[XE ĐÃ QUA SỬ DỤNG] Cross 1.8G 2022. Màu TRẮNG. Odo 26.958 km. Biển số TpHCM – Cá nhân. Trang bị: 1. Dán phim cách nhiệt. 2. Lót sàn 3D. 3. Camera hành trình Vietmap KC01. 4. Khay hành lý. 5. Bảo hiểm vật chất đến ngày 20/12/2024. 6. Bảo hành hãng đến ngày 15/12/2027. Giá bán: 685tr (có thương lượng). Hỗ trợ vay vốn lên đến 80% giá trị xe, không cần chứng minh thu nhập, thời gian vay 1-8 năm. - Thu cũ Đổi mới tất cả các dòng xe. - Thủ tục nhanh gọn, giao xe tận nơi. Vui lòng liên hệ: Mr Vinh – 0938007033. *** Fanpage: Https://www.facebook.com/profile.php? Id=61555631063387. *** Gian hàng 1: Https://xe.chotot.com/cua-hang/cua-hang-1043400-1638600990194. *** Gian hàng 2:"
Toyota Corolla Cross 1.8 V 2022,780 triệu,2022,SUV,Trong nước,19.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Toyota Cross 1.8V sx 2022 chạy zin 1,9v cực mới, Giá bán 780 triệu lh 0916036196. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mazda CX-5 2.0 Premium 2023,805 triệu,2023,SUV,Trong nước,23.000 km,Bắc Ninh,Bắc Ninh,Số tự động,Máy xăng,- Mazda cx5 2023 siêu lướt tại Bắc Giang Bắc Ninh. Xe có keo chỉ khung gầm keo chỉ nguyên bản. - Hỗ trợ trả góp 70% vay trong 7 năm.
Hyundai Kona 1.6 Turbo 2021,590 triệu,2021,SUV,Trong nước,26.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Hyundai Kona 1.6 Tubo 2021 chạy 2,6v mới nhất Hà Nội sơn zin cả xe. Giá bán 590tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Ford Everest 2019,885 triệu,2019,SUV,Trong nước,50.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Everest 2019 2 cầu. Giá bán 885tr lh 0916036196. Odo 5 vạn. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Hyundai Kona 1.6 Turbo 2021,585 triệu,2021,SUV,Trong nước,26.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"- Kona 1.6 Tubo 2021 chạ 2,6v mới nhất Hà Nội sơn zin cả xe, full LS hãng. - Đã lên màn hình, cam 360, hud kính, cảnh báo... Giá bán 585 tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Toyota Vios 1.5G AT 2022,500 triệu,2022,Sedan,Trong nước,22.835 km,Tp.HCM,Bình Chánh,Số tự động,Máy xăng,"[XE ĐÃ QUA SỬ DỤNG] Vios 1.5G 2022. Màu TRẮNG. Odo 22.835 km. Biển số TpHCM – Cá nhân. Trang bị: 1. Phim cách nhiệt Llumar USA. 2. Trải sàn simili. 3. Viền che mưa. 4. Camera hành trình. 5. Bảo hiểm vật chất 15/10/2024. 6. Bảo hành T-Sure 30.000 Km / 2 Năm (kể từ ngày 19/10/2025). Giá bán: 500tr (có thương lượng). Hỗ trợ vay vốn lên đến 80% giá trị xe, không cần chứng minh thu nhập, thời gian vay 1-8 năm. - Thu cũ Đổi mới tất cả các dòng xe. - Thủ tục nhanh gọn, giao xe tận nơi. Vui lòng liên hệ: Mr Vinh – 0938007033. *** Fanpage: Https://www.facebook.com/profile.php? Id=61555631063387. *** Gian hàng 1: Https://xe.chotot.com/cua-hang/cua-hang-1043400-1638600990194. *** Gian hàng 2:"
Hyundai Tucson 1.6 Đặc biệt 2009,220 triệu,2009,SUV,Nhập khẩu,150.000 km,Hà Nội,Đông Anh,Số tự động,Máy xăng,"Tucson số tự động máy xăng sx 2009, xe 5 chỗ ngồi. Máy số nguyên zin, ko 1 lỗi nhỏ. Giấy tờ pháp lý rõ ràng. Giá Bán: 220tr. ☎ ĐT/ Zalo: 0977 313 285 / 0943 972 333."
Toyota Wigo 1.2 G MT 2020,240 triệu,2020,Hatchback,Trong nước,16.000 km,Hà Nội,Đông Anh,Số sàn,Máy xăng,Wigo số sàn sx 2020 zin tuyệt đối. Xe vừa chạy hết rốt - đa. Xe ko 1 lỗi nhỏ. Giá bán: 240TR có TL.
Kia Sedona 2021,820 triệu,2021,MPV,Trong nước,68.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy dầu,"Sedona 2.2D Duluxe 2021 Đki 2022 chạy 6,8v km. Giá bán 820tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mercedes-Benz GLC 250 4Matic 2018,1 tỉ 079 triệu,2018,SUV,Trong nước,53.000 km,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Mercedes GLC250 4MATIC. - Chỉ cần 599 triệu, nhận xe ngay. - Màu Đen nội thất Đen. - Sản xuất: 2018. - Odo: 33.000 miles. - ----------------------------. Mua xe tại #MBAauto, khách hàng được. - Thoải mái check hãng hoặc gara bất kỳ. - Hướng dẫn hồ sơ vay ngân hàng nhanh gọn. - Tặng gói Spa xe trước khi về nhà mới. - Và nhiều phần quà giá trị khác. ————————————————. MBAauto - Đẳng Cấp Xe Lướt. Chuyên mua - bán - ký gửi các dòng xe Đức. 93 Lý Phục Man, Bình Thuận, Quận 7, HCM. ☎ HOTLINE: 0702 000 222."
Toyota Corolla Cross 1.8 V 2022,770 triệu,2022,SUV,Trong nước,19.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Cross 1.8V sx 2022 chạy 1,9v zin cực mới. Giá bán 770 tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Ford EcoSport Titanium 1.5L AT 2019,450 triệu,2019,SUV,Trong nước,41.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Tôi cần bán chiếc xe ô tô Ford Ecosport Titanium, sản xuất 2019. Odo 4,1 vạn km, ful lịch sử Hãng. Xe 1 chủ sử dụng từ mới. Xe được trang bị nhiều tính năng an toàn và công nghệ tiên tiến: Ra lệnh bằng giọng nói, kết nối điện thoại không dây. Điều khiển âm thanh trên vô lăng. Đèn pha tự động bật tắt. Hệ thống cân bằng điện tử ESC. Hệ thống hỗ trợ khởi hành ngang dốc HAC. Hệ thống chống bó cứng phanh ABS.... - --. ️ Cam kết 3 không: Không tai nạn đâm đụng. Không ngập nước thủy kích. Không tranh chấp, cầm cố. Pháp lý chuẩn. —-. Giá bán 4xy triệu thương. Lượng nhiệt tình! Ae có thiện chí cứ gọi cho tôi là mua đươc xe. Mr Hưng. #ford #ecosporttitanium #ecosport."
Mercedes-Benz AMG GLB 35 4Matic 2021,1 tỉ 899 triệu,2021,SUV,Nhập khẩu,11.500 km,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Mercedes GLB35 AMG - xuất hoá đơn cty. - Màu Đen nội thất Đen. - Sản xuất: 2021. - Odo: 11.500 km. - 7 chỗ ngồi, cửa sổ trời toàn cảnh, loa Burmester,... - Xuất hoá đơn công ty. - ----------------------------. Mua xe tại #MBAauto, khách hàng được. - Thoải mái check hãng hoặc gara bất kỳ. - Hướng dẫn hồ sơ vay ngân hàng nhanh gọn. - Tặng gói Spa xe trước khi về nhà mới. - Và nhiều phần quà giá trị khác. ————————————————. MBAauto - Đẳng Cấp Xe Lướt. Chuyên mua - bán - ký gửi các dòng xe Đức. 93 Lý Phục Man, Bình Thuận, Quận 7, HCM. HOTLINE: 0702 000 222."
Honda CR-V 2.0 2017,565 triệu,2017,SUV,Trong nước,111.000 km,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,"Bán xe Honda CRV bản 2.0L, màu titan, xe sản xuất năm 2017, đăng ký tên tư nhân, đã chạy được hơn 11 vạn km. Xe được trang bị: Động cơ xăng 2.0 L, hộp số tự động, chế độ Eco siêu tiết kiệm nhiên liệu, đăng ký 05 chỗ ngồi, nội thất da cao cấp, vô lăng bọc da tích hợp các phím điều khiển, ga tự động (Cruicontro), khóa thông minh start/stop, điều hòa tự động 2 vùng độc lập, màn hình Android, giải trí đa phương tiện, tích hợp camera lùi, đèn bi xenon, đèn led, la sang đúc.... Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
Mercedes-Benz C300 AMG 2019,1 tỉ 079 triệu,2019,Sedan,Trong nước,58.000 km,Hà Nội,Tây Hồ,Số tự động,Máy xăng,"- Chủ cá nhân, biển Hà Nội. - Động cơ, khung gầm nguyên bản. - Option: Màn hình giải trí, Loa Burmester, Cảm biến xung quanh, Camera lùi, Cam 360, Chân ga tự động, Kết nối điện thoại, Cửa sổ trời.... - Lăn bánh 5,8 vạn km. - Cam kết văn bản: Ko ngập nước, ko tai nạn. - Mua lại khi khách hàng có nhu cầu đổi xe hoặc bán đứt. - Check test toàn quốc. ==> Giá có thương lượng. ——————. Hotline/Zalo: 0906283959."
VinFast Fadil Tiêu Chuẩn 2021,319 triệu,2021,Hatchback,Trong nước,47.000 km,Hải Phòng,,Máy xăng,,"Fadil base 2021 tên tư nhân biển hải phòng odo 4,7v lốp zin vãn theo xe. Đã lên cực nhiều đồ chơi, cam kết k tai nạn, k ngập nước (bao check tets toàn quốc) có hỗ trợ ngân hàng. Giá 319 củ xem xe tại hải phòng. 0583.212.999."
Kia Morning Si 1.25 AT 2015,255 triệu,2015,Hatchback,Trong nước,65.000 km,Hải Phòng,,Máy xăng,,Monring 1.25 AT 2015 màu đỏ tên tư nhân biển hải phòng đã rút sẵn hồ sơ chỉ việc vào tên. Cam kết k tai nạn ngập nước (bao check tets). Có hỗ trợ ngân hàng. Xem xe tại hải phòng - 0583.212.999 để ép giá.
Hyundai Kona 2.0 AT Tiêu chuẩn 2019,469 triệu,2019,Crossover,Trong nước,55.000 km,Hải Phòng,,Máy xăng,,"Salon em bán Kona 2.0 tiêu chuẩn sản xuất 2019 đã lên màn hình siêu to, cam 360, tên tư nhân biển hải phòng đã rút sẵn hồ sơ chỉ việc vào tên. Cam kết bằng văn bản của cửa hàng - Xe k tai nạn, k ngập nước (bao check test toàn quốc). Có hỗ trợ ngân hàng. Xem xe tại hải phòng - 0583.212.999."
Toyota Camry 2.4G 2007,259 triệu,2007,Sedan,Trong nước,110.000 km,Hà Nội,Đông Anh,Số tự động,Máy xăng,"Camry sx 2007 bản 2.4G siêu đẹp. Xe chạy 11 vạn, ko 1 lỗi nhỏ. Giá Bán: 259Tr. Xem xe tại Đông Anh Hà Nội. ☎ ĐT/ Zalo: 0977313285 / 0943972333."
Toyota Innova 2.0E 2018,450 triệu,2018,MPV,Trong nước,70.000 km,Hà Nội,Thanh Xuân,Số sàn,Máy xăng,"Inova 2.0 E 2018 MT chạy hơn 7 vạn km đẹp ko lỗi nhỏ. Giá bán 450 tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mitsubishi Outlander 2.0 CVT 2018,565 triệu,2018,SUV,Trong nước,60.000 km,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Oulander 2.0 CVT 2018 1 chủ từ mới biển HN. Chạy 6v lốp theo xe. Giá bán 565tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196- 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
