car_name,car_price,year,style,madein,kilometer,province,district,gearbox,fuel,descri
Mercedes-Benz GLC 300 4Matic 2018,1190000000,2018,SUV,Trong nước,50000,Hà Nội,Tây Hồ,Số tự động,Máy xăng,Mercedes Benz GLC300 4Matic trắng nâu sx 2018 chạy đúng 5 vạn km. 1 tỷ 190 triệu. 0942.556666 0941.333333.
Mercedes-Benz GLC 300 4Matic 2018,1199000000,2018,SUV,Trong nước,60000,Hà Nội,Tây Hồ,Số tự động,Máy xăng,Thông tin xe: Mercedes GLC300 4 Matic đen kem sx 2018. Odo 6 vạn. 1 tỷ 199 triệu. 0941.333333 0942.556666.
Mercedes-Benz C200 Avantgarde Plus 2021,1480000000,2021,Sedan,Trong nước,30000,Hà Nội,Tây Hồ,Số tự động,Máy xăng,Mercedes C200 Plus sx 2021 đky T8/2022 trắng nâu đã up lên C300 All New. Xe chạy 3v km. 1 tỷ 480 triệu. 0941.333333 0942.556666.
Lexus RX 300 2023,3180000000,2023,SUV,Nhập khẩu,10000,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,"Lexus RX300 Giá 3.180 tỷ. Quý khách hàng hoàn toàn yên tâm với trải nghiệm xe và những tính năng an toàn khi ngồi trên chiếc xe RX300 hiện đại với Vẻ ngoài mạnh mẽ thu hút mọi ánh nhìn. Với khối động cơ 2.0 lít turbo tăng áp phun nhiên liệu trực tiếp hiện đại với công suất tối đa lên tới 233 mã lực. Lexus RX 300 được trang bị khung gầm với cấu trúc cứng vững cùng khả năng hấp thụ va đập của khung xe sẽ bảo vệ quý khách hàng khỏi tác động từ va chạm ở phía trước, phía sau, bên hông và trên nóc. Hệ thống an toàn tối đa với 10 túi khí, đèn pha tự động thích ứng trên Lexus RX300 hoàn toàn mới. Hệ thống âm thanh giải trí Lexus Premium Speaker với 12 loa giúp cho quý khách hàng trải nghiệm những cung bậc của cảm xúc. Liên hệ để nhận thông tin chi tiết!"
BMW X6 xDrive40i Msport 2022,3779000000,2022,SUV,Nhập khẩu,23000,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Lâu lắm bên em Em mới về được 1 xe. BMW X6 XDRIVE 40i, Sản xuất năm 2022, dky t11/2023, Màu trắng nội thất nâu, Xe lăn bánh 24.500km. Siêu lướt, rất ít khi về, thiết kế Coupe thể thao, ăn chơi, cực ngầu.. Tài chính tham khảo 3,7xx tỷ. Xe cam kết 3 không (đâm đụng, ngập nước, tua Km). Hỗ trợ bank 5070% giá trị xe. Uy tín tạo nên Thương hiệu và Niềm tin. ✧ Website."
Kia Sportage 1.6 GDI 2024,1020000000,2024,SUV,Trong nước,1040,Tp.HCM,Thủ Đức,Số tự động,Máy xăng,"CẬP BẾN XE SIÊU LƯỚT. Loại xe: KIA SPORTAGE 1.6T SIGNATURE AWD. Năm sx: 2024. ĐKLĐ: 24/07/2024. ODO: 1040km. Tình trạng: Xe 1 chủ mua mới trong hãng, bảo dưỡng định kỳ toàn bộ trong hãng, Sơn zin 100%, đây đủ sổ sách. Option: Phim 3M toàn xe, phủ gầm, phủ ceramic, dán ppf nội thất, camera hành trình. Bảo Hành hãng còn 4 năm hơn. Giá bán: 1.020.000.000 vnđ. Liên hệ xem xe: Hotline: 0359690894. Địa chỉ: 03 Quốc Hương, Thảo Điền, Tp Thủ Đức."
Hyundai Santa Fe 2.2 Dầu Cao cấp 2022,1199000000,2022,SUV,Trong nước,25000,Hà Nội,Cầu Giấy,Số tự động,Máy dầu,"Hyundai #Sanội thấtaFe 2.2D Premium sx 2022 (Dầu cao cấp):. Odo: 25.000 km. Biển tỉnh. Cam kết chất lượng toàn bộ: Không tai nạn, không ngập nước, máy móc động cơ hộp số nguyên bản nhà sản xuất, pháp lý sạch sẽ, minh bạch. Gia: 1.199 trđ (thiện chí có bớt). Cam kết: Không đâm đụng, ngập lụt. Thủy kính. Hỗ trợ trả góp 6570%, thủ tục nhanh chóng, lãi suất hời. Hỗ trợ giao xe tận nơi. Hỗ trợ bao rút hồ sơ. Mr. Nô: 0989799793. Địa chỉ: Villa 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hanoi. (Cạnh Công Viên Yên Hoà)."
Lexus ES 250 2019,1850000000,2019,Sedan,Nhập khẩu,52000,Hà Nội,,Máy xăng,,"Lexus Es250 sản xuất 2019 màu thất trắng, nội thất nâu. Full lịch sử hãng. Odo: 52000 km rất mới. Giá: 1 tỷ 850 triệu. LH 088.906.8888."
Hyundai Grand i10 Sedan 1.2 MT 2021,299000000,2021,Sedan,Trong nước,90000,Hà Nội,Hoàng Mai,Số sàn,Máy xăng,"Bán xe Huyndai Grand i 10 sedan bản 1.2, xe sản xuất năm 2021, màu bạc, tên tư nhân, xe rất mới. Xe được trang bị động cơ xăng 1.2L, kết hợp với hộp số tay 5 cấp, nội thất ghế da, màn hình Android giải trí đa phương tiện, tích hợp bản đồ dẫn đường camera lùi, gương kính chỉnh điện.. Hỗ trợ thủ thục trả góp vay đến 70% giá trị xe trong 5 năm với lãi suất ưu đãi, thủ tục nhanh gọn. Vui lòng liên hệ: 0905608883 để biết thêm chi tiết!"
Toyota Vios 1.5E MT 2014,261000000,2014,Sedan,Trong nước,102000,Nghệ An,Vinh,Số sàn,Máy xăng,"Xe đẹp không có chỗ bàn, giá cả thương lượng khi xem xe thực tế. Nhận giao lưu trao đổi xe đã qua sử dụng."
Peugeot 3008 Allure 2019,670000000,2019,SUV,Trong nước,40000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"* #Peugoet3008Allure sản xuất 2019 màu đỏ chạy ít. Odo 44.000 km full lịch sử bảo dưỡng hãng. Tên cá nhân 1 chủ từ mới. Lốp theo xe. Xe đẹp xuất sắc. Em bao check test mọi nơi. Cam kết chất lượng bằng văn bản: Không đâm đụng, không ngập nước. Không quay tua km. Động cơ, hộp số, keo chỉ, khung gầm nguyên bản theo nhà sản xuất. Giá chỉ 6xx tr. Quý AC có nhu cầu liên hệ em. Xem xe trực tiếp: Cầu Giấy HN."
Ford Everest Titanium 2.0L AT 4WD 2020,970000000,2020,SUV,Nhập khẩu,60000,Hà Nội,Cầu Giấy,Số tự động,Máy dầu,"* #FordEverestTitanium 2 cầu sản xuất 2020 màu đen có cửa nóc. Odo 6v km tên cá nhân 1 chủ từ đầu xe đẹp xuất sắc. Bản full 2 cầu cuối 2020 đã được fom mới: Cửa nóc, đèn bi vuông, ca lăng sao rơi,.. Xe vào thêm nhiều đồ chơi: Cửa hít, màn androi. Cam kết chất lượng bằng văn bản: Không đâm đụng, không ngập nước. Không quay tua km. Động cơ, hộp số, keo chỉ, khung gầm nguyên bản theo nhà sản xuất. Giá chỉ hơn 900 tr mời các bác. Địa chỉ: 98 Nghĩa Tân Cầu Giấy HN."
Porsche Cayenne Coupe 2023,6599000000,2023,SUV,Nhập khẩu,3600,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Porsche Cayenne Coupé (Mẫu mới). Sản xuất: 2023. Lăn bánh: 3.333 km. Màu trắng/ ghế Tím. GIÁ THAM KHẢO CHỈ 6. XXX. ———————————. ✧ THE GIOI XE DUC HCM. ✧ SHOWROOM | Số 25 đường số 16, khu đô thị Midtown, Phú Mỹ Hưng, Quận 7, TP. HCM. ✧ HOTLINE | 0939311296 0945386363. #thegioixeduc #muabanoto #xemoi #daquasudung #huymotmi #porsche #porschecayennemaumoi."
BMW X3 sDrive20i Msport 2023,1989000000,2023,SUV,Trong nước,4500,Tp.HCM,Quận 7,Số tự động,Máy xăng,BMW X3 msport. Màu trắng nội thất đỏ. Sx 2023 lăn bánh 4.555 klm. Giá TGXĐ 1990.
Mercedes-Benz V250 AMG 2022,2799000000,2022,MPV,Nhập khẩu,26000,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes V250 AMG. Màu Xanh nội thất kem. Sản xuất 2022. Lăn bánh 26.000 KILOMET. Chào bán 2.799. Hotline 0939311296.
Toyota Land Cruiser 2023,4987000000,2023,SUV,Nhập khẩu,4500,Hà Nội,Tây Hồ,Số tự động,Máy xăng,"Mới về: Toyota LC 300 sx 2023 đen/kem 4.500 kilomet. 4 tỷ 987tr. Cam kết xe ko đâm đụng, ngập nước. Hỗ trợ ngân hàng 70% giá trị xe. Hỗ trợ biển số định danh, số chọn."
Mercedes-Benz C200 2018,787000000,2018,Sedan,Trong nước,50000,Hà Nội,Tây Hồ,Số tự động,Máy xăng,"Bên em mới về C200 sx2018 bản đặc biệt. Loa Bum, xe chạy 5vạn rất mới. Giá 787tr. Cam kết xe ko đâm đụng, ngập nước. Hỗ trợ ngân hàng 70% giá trị xe. Hỗ trợ biển số định danh, số chọn."
Ford Ranger Wildtrak 4x4 AT 2020,738000000,2020,Bán Tải,Nhập khẩu,60000,Tp.HCM,Tân Phú,Số tự động,Máy dầu,"Ford RANGER WT 2.0L (4x4) 2020 siêu lướt 99%. Xe cá nhân chính chủ, Biển số 51D. ✔Giá xe còn thương lượng cho quý khách ưng xe và muốn đặt cọc xe, hỗ trợ trả góp tối đa với lãi suất thấp. ✔Xe siêu lướt, bao zin nguyên con, ít sử dụng chỉ đi loanh quanh gần nhà. Do nhu cầu đổi xe nên thanh lý xe cho hãng Ford. ✔Xe đẹp, máy êm, chạy êm, tiết kiệm nhiên liệu. ✔Đặc biệt: Còn bảo hành chính hãng của Ford Việt Nam. ✔Phụ kiện zin theo xe: Nắp thùng xếp, phim cách nhiệt, lót sàn. ✔Số km: ~60.000km, Màu: Trắng. ✔Giá: 738 triệu. Đặc Biệt: Xe Được Bảo Hành Chính Hãng Ford 01 Năm. Xin Quý Khách Vui Lòng Liên Hệ Trực Tiếp Xem Xe Và Thương Lượng Trực Tiếp Để Mua Được Chiếc Xe Với Giá Hợp Lý Nhất. Lý do nên lựa chọn xe đã qua sử dụng Chính Hãng: Bảo hành chính hãng. Lý lịch minh bạch. Đã kiểm tra 167 điểm kỹ thuật của Ford. Cam kết không đâm đụng, ngập nước. Sẵn xe tại Showroom Ford Đến xem thoải mái. Giấy tờ đầy đủ, hỗ trợ sang tên toàn quốc."
Hyundai Kona 1.6 Turbo 2021,590000000,2021,SUV,Trong nước,26000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Hyundai Kona 1.6 Tubo 2021 chạy 2,6v mới nhất Hà Nội sơn zin cả xe. Giá bán 590tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Kia Sedona 2.2 DATH 2017,655000000,2017,Van/Minivan,Trong nước,80000,Tp.HCM,Quận 2,Số tự động,Máy dầu,"Bán xe Kia Sedona 2017, số tự động, Full dầu, DATH, màu xám. Odo 80.000 km. Xe trang bị full option các tính năng cao cấp. Cam kết 100% không đâm đụng, không ngập nước. Xem xe bao thầy thợ kiểm tra và test hãng toàn quốc. Xe nguyên zin không lỗi nhỏ, keo chỉ số máy nguyên zin, gầm đẹp. Hỗ trợ sang tên. Hỗ trợ giao xe tận nhà. Pháp lý sang tên chuẩn. Bảo hành khi mua. Bên em bán có văn bản cam kết chất lượng xe. Giá: 655 triệu. LH: 0705.555.500 gặp Đức, quận 2, TP HCM."
Ford Everest 2016,699000000,2016,SUV,Nhập khẩu,78000,Tp.HCM,Thủ Đức,Số tự động,Máy dầu,"Xe chính chủ 1 chủ từ đầu, xe đẹp chắc khoẻ, ko lỗi, ko đâm đụng ko ngập nước, bảo dưỡng định kỳ chính hãng. Tình trạng: ODO zin, xe đẹp không 1 lỗi nhỏ, đang sử dụng tốt. Full lịch sử hãng, nội thất khá mới, máy móc nguyên zin, khung gầm nguyên bản. Bao thợ thầy kiểm tra, xe bán cam kết nguyên bản, bao check test hãng. Hoặc gara toàn quốc nên hoàn toàn yên tâm về chất lượng. Anh Chị alo cho em ngay nhé."
Hyundai Getz 1.1 MT 2010,130000000,2010,Hatchback,Nhập khẩu,120000,Hưng Yên,Khoái Châu,Số sàn,Máy xăng,"Getz 1.1 MT đời 2010 bản đủ, tên tư nhân, biển 26 K. Xe quá chất, không tacxi, không lỗi. Thân vỏ miễn chê, nội thất đẹp. Mọi chức năng hoạt động tốt. Alo 0976488024 0974924256. Xem xe Khoái Châu Hưng Yên."
Mazda 6 2015,420000000,2015,Sedan,Trong nước,77000,Tp.HCM,Gò Vấp,Số tự động,Máy xăng,"Mới xét đăng kiểm, xe Mazda 6 ₫ời 2015 2.0 số tự động mẫu mới, mân hình camera zin của hãng, thắng ABS, cân bằng điện tử, ga tự động, cửa sổ trời, ghế chỉnh điện, bản cao cấp nhất, xe có bh 2 chiều, vỏ mới thay. kiếm mới xét đến 2024 chính chủ ký mua bán, xem xe tại cầu hóa an, cầu vượt linh xuân thủ đức tphcm hoặc ngã 6 an phú bình dương, cầu hóa an biên hoà đồng nai. hổ trợ trả góp , có huê hồng cho người giới thiệu"
Toyota Land Cruiser 2021,7399000000,2021,SUV,Nhập khẩu,31000,Tp.HCM,Quận 7,Số tự động,Máy xăng,"TOYOTA LAND CRUISER VXR MBS 4 nhập Trung Đông!!! Sx 2021 dki 2022. Bản 4 chỗ. Nhập DUBAI. Màu trắng ghế nâu. Lăn bánh 31.000 klm. Gía 7 tỷ 399 triệu. ———————————————. ‍ HuyKha 0907000066. WashUp Mua bán và detailing ô tô chuyên nghiệp. 125127 đường số 10 phường Tân phong quận 7, phú Mỹ Hưng. Xe đảm bảo ko đâm đụng, ngập nước. Bao test hãng. Bao bank, duyệt hồ sơ trong ngày."
Ford Ranger XL 2.2 4x4 MT 2015,330000000,2015,Bán Tải,Nhập khẩu,120000,Tp.HCM,Quận 2,Số sàn,Máy dầu,"Bán xe Ford Ranger XL 2015, số sàn, 2 cầu 4x4, màu đen, nhập Thái Lan. Odo 120.000 km. Xe được cam kết: Không đâm đụng, không ngập nước. Xem xe bao thầy thợ kiểm tra và test hãng toàn quốc. Xe zin không lỗi nhỏ, keo chỉ số máy nguyên zin, gầm sáng đẹp. Hỗ trợ sang tên. Hỗ trợ giao xe tận nhà. Pháp lý sang tên chuẩn. Bảo hành khi mua. Bên em bán có văn bản cam kết chất lượng xe. Có trao đổi các dòng xe khác. Giá: 330 triệu. LH: 0705.555.500 gặp Đức, TP HCM."
Kia Morning 2011,120000000,2011,Hatchback,Trong nước,120000,Hưng Yên,Khoái Châu,Số sàn,Máy xăng,"Morning đời 2011 số sàn bản Sport biển 30A. Xe tốt, không tắc xi, không lỗi. Máy, số, gầm bệ ngon. Điều hoà tự động. Mọi chức năng hoạt động tốt. Giá xe máy thui. Bác nào đang tìm alo 0976488024 0911331482. Xem xe Khoái Châu, Hưng Yên."
Porsche Macan 2017,1830000000,2017,Hatchback,Nhập khẩu,20000,Tp.HCM,Quận 10,Số tự động,Máy xăng,Macan 2017 mới 97%. Mới như 2021 luôn. Khẳng định đời này mới kg có đối thủ luôn. Xe mới 97%. Fulloption kg thiếu món gì gồm. Ốp gỗ. Đèn led matrix. Mâm 20. Loa bose. Cửa sổ trời. Paga mui. Pô 4 ống xã. Viền Cửa xi. Nẹp Cửa macan. Ốp cản sau. Kích hoạt thể thao sport plus. Dàn lạnh sau. Cốp điện màu sơn. Sử dụng 20ngàn.
Mitsubishi Attrage 1.2L MT 2022,279000000,2022,Sedan,Nhập khẩu,25000,Hải Phòng,An Dương,Số sàn,Máy xăng,"Hàng mới về atrage 2022 MT một chu mua từ mới, xe nhập khẩu thái lan."
Mercedes-Benz S450L 4Matic 2022,4350000000,2022,Sedan,Nhập khẩu,10000,Hà Nội,Bắc Từ Liêm,Số tự động,Máy xăng,"Bán xe Mercedes S450 model 2023 siêu lướt hơn 1v km. Màu xanh cavasite nội thất kem siêu mới, form mới với rất nhiều tính năng và công nghệ hiện đại, có ghê thương gia và massage.. Hỗ trợ bank, chất lượng xe oke đã kiểm tra kỹ."
Rolls-Royce Ghost Series II 2015,13900000000,2015,Sedan,Nhập khẩu,18000,Hà Nội,Bắc Từ Liêm,Số tự động,Máy xăng,"Bán xe RollsRoyce GHOST EWB model 2015. Xe siêu mới, odo chuẩn 18.000km. Bản full option: Cửa sổ trời toàn cảnh, rèm điện sau, ghế masage, hắt kính, phanh khoảng cách, trục cơ sở dài và rộng hơn 20cm so với bản thường. Hỗ trợ bank, giá có thương lượng."
Toyota Corolla Cross 1.8 V 2022,780000000,2022,SUV,Trong nước,19000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Toyota Cross 1.8V sx 2022 chạy zin 1,9v cực mới, Giá bán 780 triệu lh 0916036196. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mercedes-Benz GLC 300 4Matic V1 2022,1959000000,2022,SUV,Trong nước,30000,Hà Nội,Long Biên,Số tự động,Máy xăng,"Cần Bán #Mercedes #GLC3004MaticV1. Màu Xanh, Nội thất Đen. Xe lăn bánh chỉ 3vạn Km sịn. Full lịch sử bảo dưỡng tại Hãng. Xe tên Công Ty xuất Hoá Đơn cao. Xe là phiên bản V1 được update thêm volang cắt, đá cốp.. Xe đang được chào bán với giá 1tỷ9xx. ————————————. #MUABÁNXESANGĐÃQUASỬDỤNG. Phone/zalo: #MrKiên0963999262. Địa chỉ: #DũngAnhAuto #46ViệtHưngLonngBiênHN."
Ford Ranger XLT 2.2 4X4 MT 2016,415000000,2016,Bán Tải,Nhập khẩu,80000,Hà Nội,Đông Anh,Số sàn,Máy dầu,"Bán Ford Ranger XLT đời 2016,2 cầu, số sàn, máy dầu, đây là bản cao cấp chỉ xếp sau widtrac, còn hơn hẳn XLS và XL. Xe tư nhân chính chủ, biển Sài Gòn đã rút hồ sơ, chủ xe đi giữ gìn chưa một lỗi nhỏ. LH 0928888699 để biết thêm"
Mazda CX-5 2.0 Premium 2023,805000000,2023,SUV,Trong nước,23000,Bắc Ninh,Bắc Ninh,Số tự động,Máy xăng,Mazda cx5 2023 siêu lướt tại Bắc Giang Bắc Ninh. Xe có keo chỉ khung gầm keo chỉ nguyên bản. Hỗ trợ trả góp 70% vay trong 7 năm.
Mazda 3 2017,430000000,2017,Sedan,Trong nước,80000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Mazda3 1.5FL 2017 chạy 8v nét căng. Giá bán 430tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mazda 3 2019,470000000,2019,Sedan,Trong nước,56000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Mazda3 1.5FL 2019 chạy 5,6v km. Giá bán 470 triệu lh 0916036196. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Hyundai Kona 1.6 Turbo 2021,585000000,2021,SUV,Trong nước,26000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Kona 1.6 Tubo 2021 chạ 2,6v mới nhất Hà Nội sơn zin cả xe, full LS hãng. Đã lên màn hình, cam 360, hud kính, cảnh báo.. Giá bán 585 tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Toyota Corolla Cross 1.8 V 2022,780000000,2022,SUV,Trong nước,18000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Toyota Cross 2022 1.8V chạy 1,8 vạn km. Giá bán 780tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Ford Everest 2019,885000000,2019,SUV,Trong nước,50000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Everest 2019 2 cầu. Giá bán 885tr lh 0916036196. Odo 5 vạn. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Toyota Corolla Cross 1.8 V 2022,770000000,2022,SUV,Trong nước,19000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Cross 1.8V sx 2022 chạy 1,9v zin cực mới. Giá bán 770 tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Ford Ranger XLS 2.2 4x2 AT 2022,560000000,2022,Bán Tải,Trong nước,40000,Hà Nội,Thanh Xuân,Số tự động,Máy dầu,"Ford Ranger XLS 2.2AT sx 2022 chạy 4v km zin. Giá bán 560tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mazda 3 2.0L Sedan 2009,180000000,2009,Sedan,Nhập khẩu,110000,Hà Nội,Đông Anh,Số tự động,Máy xăng,"Mazda 3 sx 2009 số tự động máy 2.0 nhập Đài. Xe tư nhân ko 1 lỗi nhỏ, Nội ngoại thất siêu đẹp. Giá Bán: 180Tr. ☎ ĐT/ Zalo: 0977 313 285 / 0943 972 333."
Toyota Innova 2.0E 2018,450000000,2018,MPV,Trong nước,70000,Hà Nội,Thanh Xuân,Số sàn,Máy xăng,"Inova 2.0 E 2018 MT chạy hơn 7 vạn km đẹp ko lỗi nhỏ. Giá bán 450 tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Kia Sedona 2021,820000000,2021,MPV,Trong nước,68000,Hà Nội,Thanh Xuân,Số tự động,Máy dầu,"Sedona 2.2D Duluxe 2021 Đki 2022 chạy 6,8v km. Giá bán 820tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mitsubishi Outlander 2.0 CVT 2018,565000000,2018,SUV,Trong nước,60000,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,"Oulander 2.0 CVT 2018 1 chủ từ mới biển HN. Chạy 6v lốp theo xe. Giá bán 565tr. Máy móc nguyên bản nhà sản xuất. Xe không đâm đụng, k ngập nước. Hỗ trợ trả góp tới 70% giá trị xe, duyệt nhanh chóng. Hỗ trợ thủ tục sang tên, đổi biển chọn gói. Hỗ trợ test hãng có văn bản. Liên hệ C2 auto: 0916036196 399 Nguyễn Xiển, Thanh Trì, Hà Nội."
Mercedes-Benz GLB 200 AMG 2022,1499000000,2022,SUV,Nhập khẩu,9400,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Mercedes GLB200 AMG V1 xuất hoá đơn. Trả trước 499 Triệu, nhận xe ngay. Màu Xanh Galaxy, nội thất Đen. Sản xuất: 2022. Odo: 9.400 km. Xuất hoá đơn công ty. Option: Vôlăng thể thao DCut, Cốp điện, Đèn led viền 64 màu, Hệ thống giải trí MBUX, Điều khiển bằng giọng nói LINGUATRONIC. Mua xe tại #MBAauto, khách hàng được. Thoải mái check hãng hoặc gara bất kỳ. Hướng dẫn hồ sơ vay ngân hàng nhanh gọn. Tặng gói Spa xe trước khi về nhà mới. Và nhiều phần quà giá trị khác. ————————————————. MBAauto Đẳng Cấp Xe Lướt. Chuyên mua bán ký gửi các dòng xe Đức. 93 Lý Phục Man, Bình Thuận, Quận 7, HCM. HOTLINE: 0702 000 222."
Mercedes-Benz Maybach S450 4Matic 2020,4450000000,2020,Sedan,Nhập khẩu,30000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Maybach S450 sx 2020 siêu sang, siêu hiếm. . Màu trắng ghế kem đã đi 3v miles đẹp từng mm. Gói nội thất sang trọng Designo Exclusive từ đường kim mũi chỉ may hình quả trám của Maybach #S560."
Mercedes-Benz E300 2022,1999000000,2022,Sedan,Trong nước,45000,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,"Mercedes E300 AMG model 2022 giá mới ạ 🥳. Đời 2021 Bản Facelift siêu đẹp, siêu hot. . ️ E300 AMG toàn da xịn, cacbon và gỗ quý. Body thể thao lắm công nghệ bản full rồi thích lắm ạ. ️ Màu trắng nội thất kem đẹp hết bài, đi E300 nó êm, rộng rãi, sướng vô cùng."
Mercedes-Benz AMG GLB 35 4Matic 2021,1899000000,2021,SUV,Nhập khẩu,11500,Tp.HCM,Quận 7,Số tự động,Máy xăng,"Mercedes GLB35 AMG xuất hoá đơn cty. Màu Đen nội thất Đen. Sản xuất: 2021. Odo: 11.500 km. 7 chỗ ngồi, cửa sổ trời toàn cảnh, loa Burmester,.. Xuất hoá đơn công ty. Mua xe tại #MBAauto, khách hàng được. Thoải mái check hãng hoặc gara bất kỳ. Hướng dẫn hồ sơ vay ngân hàng nhanh gọn. Tặng gói Spa xe trước khi về nhà mới. Và nhiều phần quà giá trị khác. ————————————————. MBAauto Đẳng Cấp Xe Lướt. Chuyên mua bán ký gửi các dòng xe Đức. 93 Lý Phục Man, Bình Thuận, Quận 7, HCM. HOTLINE: 0702 000 222."
